ID,Feed,Sentiment
1499,Wa7dek ya m3alem ena n7eb 8neyetek elkol,Positive
1500,Becha Becha Becha,Positive
1501,M3alem ja3fer,Positive
1502,عيب,Negative
1503,جرذ,Negative
1504,mala 7ala tfouhhhhhhhhhhhhhhhhhhh,Negative
1505,mala wahra fik ya ja3four w rabi ykather menek nes,Positive
1506,زرعلنا البسمة و الفرحة في صغرنا,Positive
1507,3sal :*,Positive
1508,برجولية ماسطة وكثر من العسل يمساط,Negative
1509,Bravoooooo,Positive
1510,Mahla zinekkkkkkk,Positive
1511,Masit lasit,Negative
1512,Tfooooh,Negative
1513,Mahlhoum l5weet kii haka <3 faza tbakii,Positive
1514,ما نعرفهاش أما عملت مداخلة باهية يعطيها صحة,Positive
1515,حلقة اليوم معجبتنيش برشة مافيهاش اضافات كبيرة بصراحة,Negative
1516,ouuuuuh ech nekerhouuuu yesser yekel dhaww hhhhh,Negative
1517,راك ماسط راك لاسط,Negative
1518,"مثقف بودورو . ممثل فاشل راك مقزز""",Negative
1519,Masset lasset,Negative
1520,"مريومة معبودتي الجماهير
Mechala 3elihe
Bravo wallah
ti3jibni il moumthla hathi barcha  i9wiya
mrigel  :D
إن شاءالله من حسن إلى   :* <3 أحسن",Positive
1521,boulissia klab,Negative
1522,"Yeziini brebii chnya hal ham mamsthoum aman chbiha manel hkika m3ankcha fih t9oul far ma5yebha  Mamstha ohhh",Negative
1523,Ena nhebha,Positive
1524,oooh ya m3alem,Positive
1525,ltawa mafhemtech 3lach tjibou fih .karakouz,Negative
1526,jaw,Positive
1527,brabi ness illi ynabrou 3la lotfi n9olhom arte7ou 8ir ouslou a3mlou rbo3 illi 3amlou houwa ... lotfi rak m3alem,Positive
1528,والله الكلب  حاشاكم  افظل  وأشرف من هالوقح  الرهط المدعو  الجويني,Negative
1529,عليك اللعنة يا كلب,Negative
1530,macha2a allah,Positive
1531,May3jebnich,Negative
1532,rak masta,Negative
1533,الحجرة متذوب و ليلي القحبة متوب!!,Negative
1534,Ena bekri makenitech ta3jibni ama l bera7 3ejbetni zin ou 3in ou torobya w rzinna,Positive
1535,mate3jebnich bsaraha marga barcha ta3mali jayer efffffff,Negative
1536,مشاء الله,Positive
1537,Malla emmarek mgallba,Negative
1538,منافقين زايد >:(,Negative
1539,Allah ahad,Positive
1540,مستوى المسلسلات أزيد في الفساد في البلاد,Negative
1541,:* :* :* :* :* :* beravou meryouwm,Positive
1542,جعفور روعه روعه روعه روعه روعه روعه روعه روعه روعه يارب تحميه و اتخليه و من حسن الصدف اني اتقبلت معاه هو انسان بمعنى الكلمة ان شاء الله من حسن الى احسن امين يارب العالمين,Positive
1543,brabi la3ad djibouhlna haka avocat makhlouf  hala bkol saraha,Negative
1544,Ta7founa,Positive
1545,يعيش بتفهات لانه ببساطة تافه,Negative
1546,ممسطكم... هذي هي حرية التعبير إلي تحكيو علاها؟؟؟ الحر هو لي يعرف حدودو ...,Negative
1547,واحد من البندارة,Negative
1548,rak masset rak lasset,Negative
1549,Rabi y3inek ya jaafour ya behi,Positive
1550,من احلى النساء و محلى ضحكتها هذي النساء برسمي اناقه و عقوليه وتربيه وزين و عين,Positive
1551,Massa5,Negative
1552,هاك آللحاس لطفي لعماري بدلو وجيب راجل,Negative
1553,ماسطة لاسطة و ملايكتها رزينة من انتم!!!,Negative
1554,ممسطوووو و مبلدوو و مخيبووو,Negative
1555,bravo,Positive
1556,"راك ماسطة،راك لاسطة...🎤",Negative
1557,Thabel se3a,Positive
1558,maset laset maye3jebnich damou th9iiiiiiiil hhh,Negative
1559,ena n7ebha barcha,Positive
1560,مورو يا معلللللللللللم,Positive
1561,ماسط.,Negative
1562,مااااااااا سط,Negative
1563,Oui 3jbni 3ale5er bravoooo #Sami,Positive
1564,yesser tetsanna3 baya,Negative
1565,ما امسطكم وما اغباكم  كلكم تفاهة ومساطة,Negative
1566,للاسف ما وصل اليه حال الاسلام والمسلمين في بلد يدعي ان الاسلام دينه عيب وعاااااار عليكم ان تتناولو مثل هاته المواضيع الدنيئة قناتكم كل مرة تخرج لنا باشكل جديدة مرة من تدعون انه دكتور محمد الطالبي يحلل الخمر والزنا ومرة الطاهر بن حسين يحلل الخمر وزد عليها موضوع المثلية للاسف اصبحنا نناقش مثل هاته المواضيع علنا بداعي الحرية اية حرية هذه التي تتكلمون عنها شاطرين غير في معاندة الغرب الا المواضيع التافهة اخذنا القشور وتركنا اللب الذي فيه فائدة عمرها ما كانت الحرية بهذا الشكل الوضيع,Negative
1567,Bravo sami,Positive
1568,Mnawra,Positive
1569,"تي ماللخر راك انسان بوهالي تعمل في Buzz و بن علي ماهوش راجع ود""",Negative
1570,Hhhhhhh bravo Sami,Positive
1571,Mnayek ala  ro7ou,Negative
1572,,Negative
1573,عسل ومحلاه احنا مازلنا ما تعودناش عليه اما برافوا امين,Positive
1574,patron,Positive
1575,يعطك داء علي منظرك خول وسخ,Negative
1576,يا تحيفة قداش تحكي اما تبارك الله عليك,Positive
1577,bay5aaa dga3eed,Negative
1578,Chab3a fsed w 5maj tfouhh,Negative
1579,لعنة الله عليكم .. يا مفسدين يا كلاب .. تخيبوا في رهوطكم حاسبين الشعب ظحكة يا شياطين ..,Negative
1580,Tfouuuuuh,Negative
1581,thabel <3,Positive
1582,أقسم بالله أمسط منو لا ريت. نحب نقلو حاجة و يتفكرها طول عمرو. والله لا عمرو باش ينجح في الفكاهة. اخيييييت,Negative
1583,Rajelllll,Positive
1584,راك ماسطة راك لاسطة,Negative
1585,Mala wahra mala zen mala thakafa .machallah abharna bsara7a.tbarkallah nour Chiba bravo,Positive
1586,امرأة تفرض احترامها.,Positive
1587,Karim ya m3allim,Positive
1588,طحان يا سامي,Negative
1589,Ma7lehoum li5wet ki ye9fou m3a b3athoum nchalah nes tit3alim mil mousalslet :),Positive
1590,حلقة مميّزة,Positive
1591,Kalb kbir,Negative
1592,Mawhra dema tab9a sa8era,Positive
1593,نور شيبا راك تهبل و كلكم بصراحة تهبلو ر,Positive
1594,احلى جعفور,Positive
1595,بصراحه المخلوق هذا زاد اكدلي اللي جماعة الجنوب  ناس طيبه و راقيه موش كيف لفت العبدلي كان البلاده و الصياح في البلاتوهات,Positive
1596,Tayaaaaaaaaara chekhna dhohk,Positive
1597,ta77an kbir,Negative
1598,فنك يعجبني و صوت تبارك الله  …,Positive
1599,maaaaaaaaaaaaaset  w m yjich mounachet,Negative
1600,علة راك يا بية,Negative
1601,tayaaaaaaaara.,Positive
1602,كافون يا معلم هو حر اش يغني مزاطيل و لا شق شق و لا حوماني و لي موش عاجبو يضرب راسو على الحيط,Positive
1603,W sami barvo barvo barvo,Positive
1604,Bou zink bint bled nchalla lmaraa jeya terba7 mais sfax hmd ya rabi,Positive
1605,#جاهلة,Negative
1606,ياخي مش فايق بروحو اللي هو رزين و ماسط و يعيف,Negative
1607,ﺍﻟﺸﻴﺐ ﻭ ﺍﻟﻌﻴﺐ ﻳﻌﻄﻴﻬﺎ ﻃﺮﺷﻴﻘﺔ ﻓﻲ ﺭﺃﺳﻬﺎ:-D,Negative
1608,jiboulena ken 9ahba w o5teha,Negative
1609,اول راجل من رجال تونس في بلاتو يطرشقهالهم احتراماتي بوحميد,Positive
1610,wallahi maaaaaaaaaaaaaaaaasta,Negative
1611,تفيه عليك وعليه وعل سامي الفهري,Negative
1612,Katheritilha bisara7aa,Negative
1613,والله جعفر القاسمي إنسان ضااامر و بشوش انشالله ربي يثبتك علي فعل الخيرp:,Positive
1614,ركم كرهتونا فيه هاالبرنامج مالي جبتونا هاالثقيل والتافه شكيب بجاه ربي بعدوه  خلينا نتابعو البرنامج ونعملوا عليه كيف .ملي مشات ميه جبتولنا النهضاوي دمو ا زيت 90 .,Negative
1615,نوفل قداه نكرهو,Negative
1616,تفوووووووووووه عليك مكش متربي مسخ,Negative
1617,فضحتونا مع العايلة يعتكم فضحة,Negative
1618,7lowa <3,Positive
1619,Mahleek jaafour comme d hab mhalli el kaada,Positive
1620,يكب ولا سعدو,Negative
1621,Moihra dima,Positive
1622,تففف عليك ها الصباح !!! لمرى متوفيه,Negative
1623,yezzi bla dharbane lougha rana t3ebna rak 7aj ya 7aj hhhh,Negative
1624,Safi y'a m3allem,Positive
1625,ربي يكثر منك الناس,Positive
1626,تقتل بالضحك,Positive
1627,Tbarkalla 3lihom,Positive
1628,جعغور انسان باهي برشا الناس الكل اتحبو ربي ايخليك جعفور,Positive
1629,Tbarkala alik wajiha fanana chamla w kamla w thohka 3sal,Positive
1630,Wajiha mon amour <3,Positive
1631,Mêla moustawayat monhata manather m9alba les deux nahdi w la wahid 5ir Mel la5er 5iiiiiita,Negative
1632,اكثر شخص يمثلني في الساحة الوطنية وتعجبني افكاره واراه الشخص الوحيد القادر على منصب رئيس الجمهورية..,Positive
1633,5iiiihhhh,Negative
1634,أمسط من ملايكتو ما راتش عيني ;;; يا ناس راو غلّب عليا ::: تمنيت لو كان جات عندي قدرة نّحيلو الجنسية التونسية و نطيش والديه في زيمبابوي خلّيهم يستغلّوا هاك الراس و يعملوه دربوكة  مأخيب منضروا و م أمسط ملايكتو,Negative
1635,برنامج تافه و كلها تعفط و تكذب عشعب و أسلوب رديء فلحوار...,Negative
1636,المعتوهة مايا الكسوري والاهبل المسخ لطفي العماري زوز كلاب تنبح على طيارة والفاهم يفهم,Negative
1637,MASSIT LASSIT,Negative
1638,Maryouma tebarkala a3likk 😘😘😘😘😘😍😍😍😍😍😍😍,Positive
1639,راك ماسط راك لاسط راك عالحيط,Negative
1640,9dech waliiit teeefeh ya sami,Negative
1641,تبارك الله وماشاء الله عسسسسل 😍,Positive
1642,Ensen mriiiiidh maset laset,Negative
1643,الفة فنانة بالحق صوت وحضور,Positive
1644,امسط ممثل عرفه التاريخ,Negative
1645,Machra9ch 3liha edawr,Negative
1646,Bravo,Positive
1647,محلاهم الزوز روعة!,Positive
1648,M3alemmmm bravo😇😆😎😜,Positive
1649,Tbarkalah a3leha,Positive
1650,malla mandhar a7raf 5iiitt 3asbééé7 tga3ééd ma5ibék :/,Negative
1651,منشط طيارة بدون منازع .برافو ٱمين ٱلى الٱمام,Positive
1652,مل سلعة...,Negative
1653,مخنثين ! مسيبين بلدانهم حروبات و ناس جواعا و حالة مركبة و جاي لتونس يتفينس و يسيب في انوثتوا 😤 تفوه عليكم و عاللي جايبكم,Negative
1654,wa7ra wirjouliya,Positive
1655,أحسنت صنعن تونس واقفة على رجالها أكيييييييييد,Positive
1656,إرهابي,Negative
1657,Betawfi9 ammouna a7la album .. آمنة فاخر 💖 Hannouna dima 3sel 😊,Positive
1658,احسن قناة تونسية,Positive
1659,merg w masat,Negative
1660,Ya mast,Negative
1661,تبارك الله عليك يا نور وحدك و زايد معاك,Positive
1662,Bravooo wlh bakitni,Positive
1663,a7lowa,Positive
1664,Bravo,Positive
1665,امصط (كمودي) واكبر طحان ومسخ,Negative
1666,malla marek tfouh ...5ommej,Negative
1667,Tfoooouuuuh,Negative
1668,ثعلب عزوزة,Positive
1669,بااااااااااااارداه ومسمامه,Negative
1670,تفوه عليك يا نجاسة,Negative
1671,BRAVO,Positive
1672,شوف الحجاب قداش يزين البنية,Positive
1673,احلى حسين ربي يحفظك و نشاله من حسن الى احسن بحبك مووووت,Positive
1674,Malla zabboure,Negative
1675,ياكلب ياكاراكوز تفوە عليك وعلي امثالك كان تجي راجل انتي و نوفل راكم عملتو لعار لتونس زايد رخيص ولكلب يقعد كان اكاك تفوەە,Negative
1676,ما شاء الله عليكم الف مبروووووووك,Positive
1677,ta7founa,Positive
1678,يا....كلب💪💪💪💪💪💪💪💪💪💪,Negative
1679,جعفور يا معلم :* نشاء الله نشوفوك ديما في أعمال جديد bravo (y),Positive
1680,A7la rim wallah bravo,Positive
1681,M3alel m3alem m3aleeeeeerm,Positive
1682,ولله انت اعضم أب,Positive
1683,مرا classe,Positive
1684,Rajil ou nos walid itounsi wilandalousi 9al ken is7i7,Positive
1685,اخلاقه عالية .ومؤدب ويحترم ضيوفه .وهذا ما يجب ان يكون .اخلاقيات المهنةواحترام الضيوف واحترام المتفرجين ...حتى نفهم محتوى البرنامج ..,Positive
1686,هي قدوة للناس الكل و هي السبب الي خلاني نتوجه حقوق ... كم اعشق تلك المرأة التي تتحدى العالم لتثبت وجودها,Positive
1687,M3alem el comédie fi tounes ,Positive
1688,مزيانة,Positive
1689,"
Massottttttt
Armasta=maset
رجع.ااطحين.كيم.قبل.
معلّم
ربي يهديك يا امين..
قداش نكرهو ياسر ماسط و ما يضحكش
maset laset
Manel khmaj
Chlaka
هو المنظر هاذا يستاهل كل شي نهار كامل وهو يعوعش و عامل فاها صوت وهو واحد ماسط ، مسخ ، حثالة سوق و ماهوش متربي والمشكلة في اعلام العار و البرامج السوقية التافهة لي تجيب فيه و في امثاله في التلفزة
بيانو ياسر ضايع، الغنايات الكل مسطهم
زبالة حثالة إلى الأمام إلى الأمام
Slm mr maset laset.surtt ki yetma93er 3la kafon
أعود بالله منها و من أمثالها
قحبة و عاهرة و خامجة و فاجرة و مومس و فاسدة و كلبة و ميبونة و الله يهلكها هي و عم الطاهر
راجل كبير وواطي
تافه وساذج ملا مستويات العيب موش منوا ملي مستدعيه
البرنامج فسدو كان المارق والبهيم والماسط شكيب لخرا. ..افلم علينا وقتلنا بالبهامة
Massssttta ow mt3rechh etmthell ow m3lihach wahrett wahhda etsou9 f motourat
m3alem
لا لوم ع الطالبي خاطر مضبع و داخل في حيط اما اللوم علي جاب الرهوط
علكة وعلة ...يشد ما يسيب..
Tfouh 3lik w 3la Elli jebek l tele
يا جبان نحبوا شويا نقد للسعودية
المرة هاذي.. ما عجبنيش بالكل يتصنع ياسر في الدور..
ممصطوا ومقل ربايتو والحق موش فيه الحق فلي جابو خسارة فرعس مسار الحلقة ومسطها
منحبوش منعرفش علاش
امسط منها مافماش موش خارج عليها دور جمله ",Negative
1690,maset laset kane chaf 5edmao5ra 5ire,Negative
1691,لا يليق بهذا البرنامج,Negative
1692,ما يعجبنيش 0/20,Negative
1693,Ta7 m'en 3ini ki dame3a,Negative
1694,3alamiaaaaaaaaa,Positive
1695,شيحكي هالابله,Negative
1696,hhhhhhhhhhhhhhhh ya mast,Negative
1697,Masta barcha pffff,Negative
1698,cv m3alma,Positive
1699,9athi emasa5,Negative
1700,mas9tou w mas9atha,Negative
1701,"مقزز..مقرف..
سبب من اسباب انتشار الزطلة في صفوف الشباب هو المخلوق هذا و فن متاعو ",Negative
1702,Ja3fourrr,Positive
1703,Bravio khdija brasmi bakitni,Positive
1704,لطفي  و أولاد النهدي الكل كلاب,Negative
1705,برنامج رائع بالتوفيق,Positive
1706,3ssaaaaal denyyyyA nhebkk lelllah #5ouya #ja3four,Positive
1707,Mala 5anzir,Negative
1708,تمثيل رائع برافو,Positive
1709,Bravo maryouma c vrai 9wiya fi tamthil,Positive
1710,العيب في الاعلام اللي جايب شلاكة زي هذا وترلي أعصابي ما يحشمش,Negative
1711,9adech tiiiiii7ki y m3alim.sil sil ilficha,Negative
1712,n7eb n9oul l manel 3mara rak wallit karakouz en plus rahou soutek y3ayef,Negative
1713,صوتها مزين محله,Positive
1714,TA7FOUN BARHA,Positive
1715,M3a9ed,Negative
1716,بربي قولولي     ياخي شكيب درويش وجهو مقزدر الي يجي ينبزو و هو مزال مقحف و جهو في التلفغزة بربي يا شكيب برا شوف حل لحياتك   راهو معادش فاها وراس خويا,Negative
1717,A3ssssal 3asl 💞💓💞💓💞💋💋💋💋💋,Positive
1718,Amma Barcha 7echma mch mte3 3ayelet😕😕,Negative
1719,Mahleeeeeekom,Positive
1720,توا هذا منظر حاشة خليقة ربي !! ملا رهوط,Negative
1721,Bravooo ya3tek sa7a :) (y),Positive
1722,مسلسل خامج لعام جاي مسلسل فيه بنت سامي الفهري. تغتصب,Negative
1723,تفوووووووو  حيوان و ماهوش متربي  . الله لا تربح الي جابك و رباك,Negative
1724,Floooop,Negative
1725,إنسان حقود مسخ منحط سافل ساقط ماسط تافه نعن زك أمو القحبة,Negative
1726,نحبها☺☺,Positive
1727,7ala !!,Negative
1728,شعب تاافه الى اقصى درجة فيقو نيكو,Negative
1729,Bravo jaw  ta7foun,Positive
1730,وانا نقول شبيه ممسطو ... ملا لحاس .  يعطيع عصا على راسو ممسطو. براس امكم طردوه . خايييييببببب,Negative
1731,والله ماسته وخارجه من قشرتها متصنعه,Negative
1732,القاضى هذا مشكوك فيه فى تبييض التعذيب فى السجون,Negative
1733,مساط السيتكوم,Negative
1734,Bravo semi,Positive
1735,اللقطه حسيتها وكانها واقعيه من كثر ماابدعت مفيده فيها برافو وحيده الدريدي ممثله عالميه,Positive
1736,Bravo halka tayara,Positive
1737,البرنامج هذا مايجيب كان الحثالة,Negative
1738,tfih 3la halmanther lemgaleb,Negative
1739,Masssta lasssta koul hiya matekelch thaw bellehi barrra ara wejjek kadech kla thaw w botokx,Negative
1740,اسطه لاسطه,Negative
1741,ti chbik wallit chleka ya maset : ya R5iss sayé be3et rou7ek el iran wel chi3a ya bouhali,Negative
1742,3ssal edenya,Positive
1743,جعفور هبلهم بل احمر هبلهم *_*,Positive
1744,Pfffff mamstha,Negative
1745,أحلا نقشه,Positive
1746,rabi ya3taha el kowa wa jahad,Positive
1747,enssen mrith w m3a9ed men 7aja esmha e5wen,Negative
1748,في كلمة : معلم و تمنيت كان كملت شديتها من شعرها راك برتلي قلبي على قاعدة,Positive
1749,Mezyena,Positive
1750,Bravo jaloul m3allem,Positive
1751,Ena me3ejbetnicj,Negative
1752,لا تعليق,Negative
1753,"برفو .مع اختك صوفية الرفرافي من ولاية بنزرت""",Positive
1754,TFOU 3ALIKOM TAW HETHI MOSELSLET  mte3 3eyla,Negative
1755,احلى جعفور انشاء الله تكون قدوة لبرشا ممثلين و انشاء الله من حسن الى احسن و احلى تحية مني و من اهالي معتمدية بني خلاد الى جعفور :* ربي يكثر منك الناس :*,Positive
1756,Mas9atha,Negative
1757,مع احلى منشط نووووووووووووووووفل ...الى الامام نوفل وربي معاك ومع جميع العاملين في القناة  نحبكم برشششششششششششة,Positive
1758,Ahla  walid  we  a7la  klem  bravooo n7ebek  we  7abitek  akther,Positive
1759,"حسب برنامج كلام الناس عبدالله قش طلع  ولي صالح و انا نقول شبيها البلاد قحبة و متعيش فيها كان القحبة و متحكمها كان القحبة بنت القحبة!! 
الحق في البرنامج كل مره إجيب لنا. ،غريبه،نحن دوله مسلمه لازم نأخذ موقف ضد . هاته القناة،قناة العار   ،والكفر.استغفر الله   استغفر الله  استغفر الله
Tafehet
سبحان الله طفل 4 سنوات يخطف و يغتصب و يذبح كالخروف بزجاجة!!!! و الله إنها كارثة إنسانية بامتياز فإن لم نقف عندها فأين سنقف؟أم أن العربي دائما همه الوحيد بطنه و فرجه و لهوه. 
بدأت ورقة التوت تسقط  ....دولة الهانة
A3outho bellah menkom
الشيب والعيب
برا الله  لا تربحكم يافساد...
الجهل مصيبة و الانا الاعلى الا حكى علها فرويد هي المجتمع هههههه ايسلم قرايتك فضحتنا ههههههه
Maseeeet al le5errr 👎👎👎👎👎👎👎
3maltou l3ar allah la traba7kom lwe7d wala y7chm 3la rou7ou ki ytfarj fi tv mte3kon,law ken li ta3mlou bih fi mosalsat mas5a kifkom 3maltou bih machrou3 yfid lbled 5irelkom ml5maj li ta3mlou fih,allah la traba7kom ya mas5in ya 5omaj
howa ablah w sketet
maset laset w zid mase5 3o9dtou nahdha w 3andou mochkla m3a dine cheka fih mol7ed
y3ayeef
Lokza fedour hetha
هذا المنافق لابد له ان يرحل لانه انتهى وسقط من القلوب والعقول اولا  ولازال الى يومنا يدافع عن ارهابى وهابى داعشى اسمه رضا الجوادى وبالمناسبة اتوجه بتحية الى لطفى العمارى
مهوش راجل معجبنيش في حياة جبنون كي قال المرءة بيضعة
echib w el 3ib , mahou ki sidi ki jwadou ;madem lom patrouna chnow testenna men el bent
واحد منحط و خامج يدعو للرذيلة و حتى هي قاعدة ليه مكة با يمسيلها تفوه عليه
Meskin tounes jebet oujouh l lo7 kima l 7erzét
لعنة الله على اعلام العار ياشلايك هاكا مستواكم يابهايم
Marzen mlayektou ya3tek sa5ta,
سخافة
ياسر يغش ههههه
Moch 5arej edawr a3liha
mala zebla
المرة هذه معجبنيش ماسط و الفازات كلها بايتة
Barou na3el boukom we7ed we7ed
كلام الناس  امساط بيك
نموت و نعرف علاش تضحك  اففف ممسطك و ملسطك
Pffff y5awefff
تافهة جدا مثلها مثل الي معاها
Lokza w en plus nahthawi
mergaa w mjet chay w karim maaaaaseeeeet
Mala 9haba
بصراحة العيب موش فيك العيب في الي جابك والله عار على تونس
التونسية  اعلام  العار
9adech nakrhek w 9adechek maset  maset  pffff w 3amel feha 3a9el hhh
تافهة و حمقاء و اهم حاجة ما تمثلنيش كمرأة تونسية و زيد نقولها من انتي لتتكلمي عن احمد الاندلسي
استر ما ستر الله . قلة حياء
مسلسل كي ... الخرا
5ir men nawfel elmaset
جرذ
ne9sine 3sab na7na :p
والله شىء يحشم وعندك وجه تقابل بيه فى الناس وتناقش ملا رقعة
انا ملي شفت الضيوف وشفت فيهم الغربي عرفت الي الحلقة فاشلة .
هذا معفن وخامج ووجهو ممسوخ وخسارة كبيرة اسمو الطاهر والحمد لله انو ظهر في التلفزة وكشفو الشعب على حقيقتو الوسخة
سيف الدين مخلوف معلم عليك",Negative
1760,Mashaallah 💖,Positive
1761,😡,Negative
1762,البقرة الحلوب حلبها وليد التونسي و روح شفايفها تقول شمبرار متع كرهبة ملا مسخة,Negative
1763,bravo wajiha,Positive
1764,7ram 3likom,Negative
1765,bhiiiiiiiiiiiiiiiiiiim wmayji chay,Negative
1766,رجل تونس الأول,Positive
1767,Mala mridha,Negative
1768,M3alem w rajel walid,Positive
1769,محلاك حتى كاننك عزوزة,Positive
1770,خويا الغالي نحبك راني ..ربي يدوم هاك الضحكة المزيانة وانشاء الله ديما مشرفنا,Positive
1771,موش ضامر حتي ترفه كريوكا برشا,Negative
1772,Bravo,Positive
1773,Machalllah,Positive
1774,Maaaaaaareq eghiiiiiiiiit,Negative
1775,Wahdek ya amin,Positive
1776,مثال للمرأة التونسية الأصيلة,Positive
1777,Jarbou3 ou massit lasit 😧,Negative
1778,Bravoooooooooo dalleji,Positive
1779,بففف ولا ماسط,Negative
1780,تونس تحترمك جعفور,Positive
1781,ebsaraha yaser masatouha ya amine rak chaleket el barnemej,Negative
1782,tharbtou fi rou7a barcha w hiya nakira majat chayn w film maset,Negative
1783,bravo rajel,Positive
1784,مقداد سهيلي مريض مهوش محترم معادش جيبوهلنا,Negative
1785,ماصط,Negative
1786,Yeser ya3jebni harajel 9adechou metrobi w ya3ref ech yjeweb mech chleyek lotfi la3meri w chakib lmaset ili yestfazou fih zeyed yhoud,Positive
1787,a7sen men nawfel el werteni b 10000 marra,Positive
1788,برجولية زوز بنات ينطبق عليهم مقولة يرحم ولدين الي رباهم,Positive
1789,كعورررررر...واعطى للاعورررر,Negative
1790,Rabbi ykather menha l'momathliin fi tunis bravo wajiha (y),Positive
1791,tho3fet w walet ma5yebha,Negative
1792,محلاك يا ريم,Positive
1793,قداش سيبت بلادة,Negative
1794,راك ماسط,Negative
1795,راك ماسط راك لاسط !!,Negative
1796,محلك,Positive
1797,معلم والله ربي معاك,Positive
1798,leeeeeeeeeeeeeeeee khayb ala hiit :p :p l,Negative
1799,3alami bourjoulya,Positive
1800,Vraiment tayara barcha,Positive
,Bravo Karim,Positive
,حاشا خليقة الرحمان ..... الله لا يورينا وجه منكر,Negative
,Rabi ma3kom nechla,Positive
,MALLA TAFAHA,Negative
,ماسط كالكلاسة -_- عمروو ما يضحّك :/,Negative
,Bravo moussalssal tayara,Positive
,Monafe9,Negative
,انت لقيت متجرع المسحية للنخاع تفوه عليك وعلي فلوسك وعلي برامجك,Negative
,محلاك عسل,Positive
,وهرة,Positive
,اين خجل البنات وعيباااه وفضحنا فضحااه,Negative
,Tanja7,Positive
,السيد هذا الطحين بيدو لعنة الله عليك وعلي امثالك,Negative
,Masta barcha,Negative
,ya3teha esa7a ate9netou dawereha bel3akes 9oul 9adech men wa7ed ye7ebeha,Positive
,ربي يسترك ولله انموت اعليك,Positive
,Wlh mech 5ayba 3a9la ama lazem twali mastoura chway,Positive
,"تعجبني برشا انشالله يكون حظها مزيان كيفها
M3alllllllllem
a7la jaw m3a lotfi
hhhhh ama ti3jibni
Dima M3alem
برجولية معلم
Bravo kafon zidna mousika W nzid n9olek #Bravo😁😁
Bravo
ماشاءالله على هالصوت يا اميمة
M3alamm
حسنا فعلت معالي الوزير .
جعفور عاطي للاناقة كارها(y)
barvou 5oya ja3four atyb ensin ritou
oui bravo
M3alem, ma l9ach rou7ou m3ah lotfi la3mari
Zina mahlekkk nmout 3lik wlh f njeh  benti lema njibkkkkkkkk
بالرسمي ممثلة و علاها الكلام تعجبني وقت لي تحكي تحسها عندها منطق و توزن في كلامها
Bravou 7all9a 7lowa
Ma7leha
me7leha hetofla
bouzinek marwa rabi m3ak wa enchalla masira fania naj7a
Bravo oooooo
يا شكيب راك معلم انتي انضف صحفي في تونس
Fekra tayara bravooo sami
ناجي جلول الرجل المناسب في المكان الناسب
Me3alem
Bravo et bonne continuation.
Ismeek nour w intii nour ♥♥♥
M3alemmm
3ejbitni taihet 3la nsibti la3ziza
Bravo
و تنحني لهم الرؤوس ... مبدعة",Positive
,mahleek  baya zardi,Positive
,Bravo bravo bravo,Positive
,مامسطها,Negative
,نقص من الضحك الماسط على خاطر الفلجا موش موتياتك و زيد معاش تتبهلل,Negative
,ممصطوا ومقل ربايتو والحق موش فيه الحق فلي جابو خسارة فرعس مسار الحلقة ومسطها,Negative
,yeser mtwath3a chapeau,Positive
,Mastek ya mta3 salam monsieur mamstek ti wlh ma tji chay nans7ek nasi7a 5ouyia kan mchiit dabert nharat mrama 5ir  mala fthaya7,Negative
,تافهة......لا تمثل المرأة التونسية,Negative
,برافو  راشد الخياري,Positive
,Bravo etbarkaleh e3leha rabi iwafekha,Positive
,Tawa hetha rajel masa5,Negative
,رااااجل الحلقه,Positive
,لا يستحق لا تعليق و لا اعجاب القامط هذا,Negative
,برا يرحم والدين والديك يا وليد فرهدتلي على قلبي,Positive
,toufa erjel ba3dek  ya jlayel bravooooooooooooooooooooo,Positive
,ya benti raki maaaaaaaaaaasta w 3malti elfadh7 pffffffffffffffffff,Negative
,5eh mamsto,Negative
,أنت معلم و أحنا منك نتعلم ;),Positive
,الحق موش فهالخامجة النكرة الحق في جايبها ومدخلها لبيوت الناس ياخي ماعندهمش عايﻻت وصغيرات يخافوا علهم من هالمارك الفاسدة على زوز فرنك يبيعوا أرواحهم وبﻻدهم عار عليك ايتها الحبيبة تونس هؤﻻء اﻷشكال المقيتة,Negative
,هاجر بحبوحة و هندة مزيانة هاجر مقربعة و هندة رزينة اما الزوز مترين و بنات اصل ربي يفضللكم سي محمود المفرمي هههههههه برافووو هاجر,Positive
,برافو سمير دقة كبيرة في اختيار الضيوف ولو اعاتبك قليلا .. حلقة الصافي سعيد لو كان بمفرده افضل,Positive
,و ما اخيب العلم الي لابسته,Negative
,Bravo,Positive
,Bravoo ja3four t es le meilleur ;),Positive
,Tbarkallah,Positive
,امسط انسان في العالم,Negative
,ممتاز,Positive
,ستانس بطحين في عهد بن علي ومينجمش يبطل.,Negative
,Akber ta7an fi tunis,Negative
,Walahi  ya  fawzi rabi baraklek khalik inchalah,Positive
,نجمة هذي السهرة بي عفويتها و لابقتها,Positive
,ARTISTE W FENEEN KIBIR YANA N9OULW BRAVOO,Positive
,متعرفش تحكي...,Negative
,zayed rak ma3alemmmmmmmmmmm ... ;),Positive
,متفهك و قفافة و تدافع علي تافه كيفها و عافسة في لندلسي نفلها راهو ميراكش إنت وين,Negative
,رمز الفشل,Negative
